TOI,TIC,Magnitude,20 Period,120 Period,20 Depth,20 Error,120 Depth,120 Error
1333.01,395171208,9.03527,4.720222022,4.721705811,0.00486985,0.513669836,0.005188777,0.393137614
899.01,177162886,11.5865,8.231929224,12.92274227,0.000826758,6.381285165,0.006674535,0.390400229
1605.01,101037590,9.62924,8.7072836,8.706420642,0.003653147,0.655021683,0.003674671,0.38284591
139.01,62483237,9.3636,8.966767019,11.08370837,0.001665821,1.033105229,0.002307762,0.379894496
1144.01,28230919,8.5077,4.887938794,4.88720697,0.003348865,0.490111937,0.003348569,0.379885874
1919.01,102192004,11.3287,4.234623462,4.234493296,0.006461877,0.847737587,0.006455607,0.37927812
1259.01,288735205,11.1534,3.477947795,3.477618734,0.021187535,0.40895849,0.020665988,0.376676891
1904.01,272213425,11.1138,4.324332433,4.323959084,0.005793276,0.824236518,0.005961367,0.376419068
1339.01,269701147,8.2929,8.878037804,8.880629737,0.001104897,0.933347573,0.001133619,0.374022674
511.01,440777904,11.3072,3.355085509,3.354934773,0.009379516,0.604183462,0.009404347,0.369337038
229.01,120610833,11.5005,3.126912691,3.126366912,0.009247007,0.664569933,0.009344349,0.368895698
1912.01,50712784,10.5579,5.402790279,5.403669125,0.005291475,0.665783195,0.005477229,0.368008293
1951.01,356590734,9.8722,4.829432943,4.82950246,0.006991813,0.466472484,0.007042887,0.367071371
1251.01,233120979,10.6479,5.96249625,5.961960057,0.010404916,0.356820293,0.01013234,0.365877633
1936.01,178289267,11.7076,2.350735074,2.350949451,0.013202071,0.600100754,0.014352059,0.363769651
235.01,280095254,9.4688,10.0930093,10.09716111,0.00161072,0.953429967,0.002398785,0.362882257
306.01,114749636,11.7607,4.603210321,4.601413494,0.006036672,0.97912877,0.006892173,0.361461353
1493.01,15692883,9.7116,5.149264926,5.149042875,0.003756845,0.569265688,0.003524172,0.360811482
270.01,259377017,10.4981,5.660216022,5.65826999,0.003752016,0.787115981,0.003582592,0.35901516
1494.01,411608801,10.3002,5.02640264,5.026918038,0.005030215,0.621999774,0.005501266,0.357104046
573.01,296780789,12.519,13.5780078,13.57578798,0.113177005,0.342034739,0.113325166,0.35355233
626.01,65412605,9.50712,4.400390039,4.401104197,0.005498394,0.450002869,0.005439943,0.341377432
231.01,204376737,11.4779,3.360936094,3.361370746,0.019805562,0.414839839,0.019645315,0.340464913
843.01,437333618,12.472,4.298979898,4.299072752,0.013985936,0.752755544,0.014547793,0.339192307
677.01,280206394,9.271401,11.23582358,11.23893654,0.007550123,0.412525588,0.007236905,0.338871469
1720.01,356473034,10.4467,2.615961596,2.61620802,0.010134812,0.776990955,0.011700264,0.336584201
1107.01,394561119,10.0068,4.078607861,4.078967708,0.005282214,0.514735117,0.005008973,0.336478756
439.01,13021029,11.7231,3.856285629,3.85541916,0.008611879,0.758577684,0.008934128,0.335680515
1007.01,65212867,8.87759,6.998049805,6.998748435,0.002265126,0.597447057,0.002234726,0.334155335
826.01,243200602,10.491,11.54980498,11.54484247,0.008583654,0.481806733,0.008580954,0.332053313
1718.01,257241363,8.2558,5.586108611,5.584144328,0.00177678,0.546340953,0.00167796,0.330613822
1913.01,53458803,11.8656,3.347284728,3.347564639,0.010165076,0.703998162,0.010572798,0.327746574
1076.01,360742636,11.2474,2.549654965,2.549415923,0.012813394,0.491451322,0.013042832,0.327514543
752.01,61538902,11.3743,5.747974797,5.749749142,0.009570321,0.578838255,0.010574104,0.326882629
1909.01,232038798,11.3187,4.152715272,4.152649243,0.009088496,0.658871692,0.009296981,0.32663182
1906.01,308098254,11.5688,9.623012301,9.619660841,0.007834466,0.726075809,0.008403313,0.324509702
1388.01,346338552,9.76031,4.464746475,4.464693949,0.010574089,0.517701173,0.011676635,0.32113107
661.01,53735810,11.248,4.084458446,4.084558501,0.006385706,0.725725458,0.006919252,0.31754804
170.01,394698182,11.9692,3.711971197,3.711378564,0.01003522,0.804691251,0.010692273,0.317060783
106.01,38846515,10.3157,2.851935194,2.850090545,0.006367912,0.519247004,0.006450899,0.313964702
400.01,35857242,11.3161,3.633963396,3.634261671,0.007531307,0.684582877,0.00781694,0.31377862
413.01,170634116,9.6757,3.663216322,3.663039166,0.009847484,0.391422738,0.01020967,0.311342297
828.01,271168962,9.47199,5.322832283,5.321835019,0.005436481,0.431367062,0.005405644,0.310790566
780.01,398943781,10.7875,3.052805281,3.052207696,0.018304706,0.319975376,0.017435716,0.308089054
471.01,47911178,9.79059,3.585208521,3.586012967,0.009286978,0.385298205,0.009691782,0.30760791
338.01,116156517,11.3151,5.363786379,5.365186136,0.006037721,0.790310978,0.0067558,0.305309837
1580.01,354469661,9.17925,4.794329433,4.793692015,0.005383266,0.393344967,0.00539808,0.304667067
104.01,231670397,9.8638,4.088358836,4.088285696,0.003348986,0.67293289,0.003312637,0.303076195
1039.01,461867584,8.5483,4.421842184,4.421681007,0.005152588,0.44239758,0.005286358,0.29990857
503.01,186812530,9.19813,3.676867687,3.67650811,0.003096675,0.56488209,0.003038021,0.291365239
1653.01,156724719,9.353,10.9549955,10.95276085,0.003740859,0.514063451,0.003990346,0.28854866
625.01,379929661,9.6129,4.786528653,4.786183794,0.00629088,0.450640694,0.006640395,0.286756045
245.01,154618248,8.5509,7.50510051,7.447985663,0.002003191,0.642805856,0.003181427,0.283700672
1114.01,409934330,8.1129,2.48919892,2.488984902,0.003347155,0.298060416,0.003278602,0.279683082
102.01,149603524,9.7109,4.412091209,4.412327911,0.011327354,0.338629654,0.012042404,0.275106693
1612.01,268403451,10.0521,2.863636364,2.864425079,0.007576915,0.40518556,0.007803559,0.272556626
265.01,159951311,11.7276,5.925442544,5.926006957,0.01069103,0.593051234,0.010827142,0.272049629
452.01,139733308,11.9012,4.763126313,4.763659129,0.011888554,0.552565642,0.012106642,0.269559435
966.01,178367144,10.5572,3.409690969,3.40929471,0.014260975,0.351315035,0.014629756,0.264557994
163.01,179317684,10.8719,4.230723072,4.230174998,0.006697762,0.595961218,0.006565559,0.26419533
434.01,78055054,12.8461,4.388688869,4.38805539,0.021554836,0.63545294,0.023014575,0.26228373
2195.01,24695044,10.9916,4.162466247,4.163697828,0.007424266,0.534439844,0.007268551,0.2589512
